����_A
t	y	x
27.6	-169.54876273653565	296.2445414847161
27.7	-149.0538573508005	299.9708879184862
27.8	-130.42212518195043	307.4235807860262
27.9	-100.61135371179034	311.1499272197962
28.0	-72.66375545851531	318.6026200873362
28.1	-44.716157205240165	322.32896652110634
28.2	-14.676992285585015	322.4048304606944
28.3	14.946843937259246	318.2599246693548
28.4	45.76004334108245	314.3849466523513
28.5	75.27670168194697	308.10220012491703
28.6	104.23933188456442	300.23274221157766
28.7	129.4752188178794	292.3778612479768
28.8	151.71124303819397	284.42527248636856
28.9	169.30890273754505	277.2961263997908
29.0	182.57466022915708	271.7012668411384
29.1	187.7842290027694	269.2803476172657
29.2	188.72283730498873	267.9411112121806
29.3	184.20651811206005	269.4641508210554
29.4	173.41452267587408	273.67476861599147
29.5	155.03191595967655	279.9906048058087
29.6	131.6296789251146	288.04045765482755
29.7	105.21050190118149	296.54124218010196
29.8	75.55913492913498	304.5499069434176
29.9	43.38089443165495	311.4544437353929
30.0	10.126791118317328	316.7433081793569
30.1	-23.18361444243385	319.5970959854521
30.2	-55.33290655673318	320.1820774215975
30.3	-84.73281951187244	318.4037243873515
30.4	-111.64464208401591	315.0447880372316
30.5	-134.58286727615211	310.2654531193811
30.6	-153.75274162929713	304.98247900011455
30.7	-170.02151573692117	299.40746304212956
30.8	-182.09965175834066	294.3551564223948
30.9	-190.54834424695298	290.4865838226755
31.0	-195.63367228874495	287.9865333188706
31.1	-196.03912334860047	287.3235031861711
31.2	-192.35742287159655	288.45522482181053
31.3	-185.0615863995738	291.27418546671464
31.4	-174.1053729658728	295.2654919806561
31.5	-160.34639850305462	300.29686761985516
31.6	-143.4526984702975	305.4733747082225
31.7	-122.87027057700072	310.993932527444
31.8	-100.13017728410193	315.5693439529875
31.9	-73.88317916371363	319.1112865619288
32.0	-46.09791328643814	320.89525611007315
32.1	-16.189140891980287	320.8565490282653
32.2	15.116400788973351	318.49606884898
32.3	45.1692521333099	313.623351435875
32.4	74.77171129627823	306.5766056206057
32.5	102.54231909805947	298.60349537319706
32.6	127.48864061486393	290.3247238023425
